Name,Team,PA,Single,Double,Triple,Home Run,BB,SO,InPlayOut,1B,2B,3B,In-Play Out,H,HR,SO,BB
Zack Godley,Tigers,503.9,0.1427267315,0.04524707283,0.004524707283,0.03373685255,0.09922603691,0.2083746775,0.4661639214,71.92,22.8,2.28,234.9,114,17,105,50
Jeff Bain,Diamondbacks,588,0.1528231293,0.04659863946,0.004659863946,0.02891156463,0.09863945578,0.1785714286,0.4897959184,89.86,27.4,2.74,288,137,17,105,58
Casey Mize,Tigers,424.1,0.1553878802,0.04951662344,0.004951662344,0.03772695119,0.06130629568,0.1768450837,0.5142655034,65.9,21,2.1,218.1,105,16,75,26
Spencer Howard,Phillies,368,0.1305978261,0.04184782609,0.004184782609,0.03260869565,0.1059782609,0.2418478261,0.4429347826,48.06,15.4,1.54,163,77,12,89,39
Ian Anderson,Braves,570.9,0.1293046068,0.04168856192,0.004168856192,0.03328078473,0.1226134174,0.2434752146,0.4254685584,73.82,23.8,2.38,242.9,119,19,139,70
Mario Sanchez,Nationals,502.1,0.153913563,0.05018920534,0.005018920534,0.04182433778,0.05178251344,0.1812387971,0.5160326628,77.28,25.2,2.52,259.1,126,21,91,26
Diego Castillo,Rays,303.1,0.1331573738,0.04091059056,0.004091059056,0.0263939294,0.08578027054,0.2705377763,0.4391290003,40.36,12.4,1.24,133.1,62,8,82,26
Drew Smyly,Giants,524,0.1359923664,0.04465648855,0.004465648855,0.03816793893,0.08396946565,0.2347328244,0.4580152672,71.26,23.4,2.34,240,117,20,123,44
A.J. Puk,Athletics,294.9,0.1289250593,0.04001356392,0.004001356392,0.02712783995,0.1152933198,0.2577144795,0.4269243811,38.02,11.8,1.18,125.9,59,8,76,34
Kyle Kubat,White Sox,453.9,0.1662921348,0.05111257986,0.005111257986,0.03304692664,0.06168759639,0.1498127341,0.5329367702,75.48,23.2,2.32,241.9,116,15,68,28
Cal Quantrill,Padres,592.1,0.1515960142,0.0479648708,0.00479648708,0.03546698193,0.07768957946,0.1874683331,0.4950177335,89.76,28.4,2.84,293.1,142,21,111,46
Nolan Kingham,Braves,663.1,0.167124114,0.05097270397,0.005097270397,0.03166943146,0.06786306741,0.1327099985,0.5445634143,110.82,33.8,3.38,361.1,169,21,88,45
Mitchell White,,415.9,0.14263044,0.04520317384,0.004520317384,0.03366193797,0.08655926906,0.2212070209,0.4662178408,59.32,18.8,1.88,193.9,94,14,92,36
Zac Grotz,,315.9,0.152453308,0.04558404558,0.004558404558,0.02532446977,0.06647673314,0.2089268756,0.4966761633,48.16,14.4,1.44,156.9,72,8,66,21
Logan Gilbert,Mariners,523.1,0.138367425,0.04626266488,0.004626266488,0.04205696807,0.07646721468,0.2179315618,0.4742878991,72.38,24.2,2.42,248.1,121,22,114,40
Luiz Gohara,Angels,459,0.1336383442,0.04488017429,0.004488017429,0.04139433551,0.09586056645,0.2549019608,0.4248366013,61.34,20.6,2.06,195,103,19,117,44
Brock Burke,Rangers,463.9,0.1588704462,0.04957965079,0.004957965079,0.03449019185,0.09053675361,0.1724509593,0.4891140332,73.7,23,2.3,226.9,115,16,80,42
Kirby Yates,Padres,220.9,0.1060208239,0.03531009507,0.003531009507,0.03168854685,0.07243096424,0.393843368,0.3571751924,23.42,7.8,0.78,78.9,39,7,87,16
Brandon Gold,Rockies,632,0.1769620253,0.05632911392,0.005632911392,0.04272151899,0.04905063291,0.1424050633,0.5268987342,111.84,35.6,3.56,333,178,27,90,31
Seth Lugo,Mets,300.9,0.1256231306,0.03988035892,0.003988035892,0.02991026919,0.05982053838,0.2924559654,0.4483217016,37.8,12,1.2,134.9,60,9,88,18
Jordan Montgomery,Yankees,381.9,0.1456925897,0.04608536266,0.004608536266,0.03404032469,0.08379156847,0.1937680021,0.4920136161,55.64,17.6,1.76,187.9,88,13,74,32
Michael King,,479,0.1520250522,0.0496868476,0.00496868476,0.04175365344,0.05636743215,0.1837160752,0.5114822547,72.82,23.8,2.38,245,119,20,88,27
Michael Baumann,Orioles,519.9,0.1432583189,0.04462396615,0.004462396615,0.03077514907,0.1173302558,0.1865743412,0.4729755722,74.48,23.2,2.32,245.9,116,16,97,61
Ken Giles,Blue Jays,225.1,0.1248334074,0.03998223012,0.003998223012,0.03109729009,0.07107952021,0.333185251,0.3958240782,28.1,9,0.9,89.1,45,7,75,16
Garrett Richards,Padres,239.9,0.1366402668,0.04251771571,0.004251771571,0.02917882451,0.08336807003,0.2375989996,0.4664443518,32.78,10.2,1.02,111.9,51,7,57,20
Cole Stapler,Diamondbacks,485.1,0.1553906411,0.04988662132,0.004988662132,0.03916718202,0.05359719645,0.1793444651,0.5176252319,75.38,24.2,2.42,251.1,121,19,87,26
Matt Barnes,Red Sox,266,0.1123308271,0.03458646617,0.003458646617,0.02255639098,0.1278195489,0.3609022556,0.3383458647,29.88,9.2,0.92,90,46,6,96,34
Matt Hall,,511.9,0.1439734323,0.04493065052,0.004493065052,0.03125610471,0.111349873,0.2168392264,0.447157648,73.7,23,2.3,228.9,115,16,111,57
Alex Cobb,Orioles,534.9,0.1553187512,0.05085062629,0.005085062629,0.04299869134,0.05982426622,0.1551691905,0.5307534119,83.08,27.2,2.72,283.9,136,23,83,32
Ervin Santana,,487.9,0.1385119902,0.04550112728,0.004550112728,0.03894240623,0.06968641115,0.1824144292,0.5203935233,67.58,22.2,2.22,253.9,111,19,89,34
Adrian Sampson,,526.9,0.1654962991,0.05314101348,0.005314101348,0.04175365344,0.05503890681,0.1594230404,0.5198329854,87.2,28,2.8,273.9,140,22,84,29
Jordan Yamamoto,Marlins,551,0.1287114338,0.04137931034,0.004137931034,0.03266787659,0.1070780399,0.2250453721,0.4609800363,70.92,22.8,2.28,254,114,18,124,59
Wade Miley,Reds,590.9,0.1492638348,0.04738534439,0.004738534439,0.03553900829,0.09138602132,0.1844643764,0.4872228804,88.2,28,2.8,287.9,140,21,109,54
Jesus Castillo,Brewers,462,0.1631168831,0.04848484848,0.004848484848,0.02597402597,0.07575757576,0.1493506494,0.5324675325,75.36,22.4,2.24,246,112,12,69,35
Sixto Sanchez,Marlins,430.9,0.1516361105,0.04780691576,0.004780691576,0.03481086099,0.06265954978,0.1856579253,0.5126479462,65.34,20.6,2.06,220.9,103,15,80,27
Ben Lively,Diamondbacks,463.1,0.1478298424,0.04621032174,0.004621032174,0.03239041244,0.07773698985,0.1965018355,0.494709566,68.46,21.4,2.14,229.1,107,15,91,36
Jose Suarez,Angels,527,0.1422011385,0.04667931689,0.004667931689,0.03984819734,0.08918406072,0.2049335863,0.4724857685,74.94,24.6,2.46,249,123,21,108,47
Austin Gomber,Cardinals,442.9,0.1387220592,0.04425378189,0.004425378189,0.03386769022,0.09257168661,0.2257846015,0.4603748024,61.44,19.6,1.96,203.9,98,15,100,41
Jacob Waguespack,,534,0.1459550562,0.04606741573,0.004606741573,0.03370786517,0.1011235955,0.1872659176,0.4812734082,77.94,24.6,2.46,257,123,18,100,54
Chris Stratton,Pirates,494.9,0.1536472015,0.04768640129,0.004768640129,0.03232976359,0.08688623964,0.1899373611,0.4847443928,76.04,23.6,2.36,239.9,118,16,94,43
James Marvel,Pirates,666.1,0.1608467197,0.04894160036,0.004894160036,0.03002552169,0.08557273683,0.1531301606,0.5165891007,107.14,32.6,3.26,344.1,163,20,102,57
Alec Mills,Cubs,548.9,0.1464747677,0.0473674622,0.00473674622,0.03825833485,0.07833849517,0.2040444525,0.4807797413,80.4,26,2.6,263.9,130,21,112,43
Jerad Eickhoff,,442.9,0.1435086927,0.0460600587,0.00460600587,0.03612553624,0.08354030255,0.2077218334,0.4784375706,63.56,20.4,2.04,211.9,102,16,92,37
Sterling Sharp,Marlins,445.9,0.1660013456,0.04888988562,0.004888988562,0.02466920834,0.08073559094,0.1502579054,0.5245570756,74.02,21.8,2.18,233.9,109,11,67,36
Matt Shoemaker,Blue Jays,304.1,0.1400854982,0.04603748767,0.004603748767,0.03946070372,0.07234462348,0.2236106544,0.4738572838,42.6,14,1.4,144.1,70,12,68,22
Ty Blach,Orioles,564,0.1656737589,0.0524822695,0.00524822695,0.0390070922,0.07269503546,0.134751773,0.530141844,93.44,29.6,2.96,299,148,22,76,41
Roberto Osuna,Astros,249.9,0.1302921168,0.04161664666,0.004161664666,0.03201280512,0.04401760704,0.2761104442,0.4717887155,32.56,10.4,1.04,117.9,52,8,69,11
Trevor Oaks,,466,0.1700858369,0.05021459227,0.005021459227,0.02575107296,0.06008583691,0.1287553648,0.5600858369,79.26,23.4,2.34,261,117,12,60,28
Chris Flexen,,418,0.1413875598,0.04545454545,0.004545454545,0.03588516746,0.08373205742,0.2248803828,0.4641148325,59.1,19,1.9,194,95,15,94,35
Nick Anderson,Rays,240.9,0.101867995,0.03569946036,0.003569946036,0.03735990037,0.08302200083,0.3943545039,0.3441261934,24.54,8.6,0.86,82.9,43,9,95,20
Stephen Gonsalves,,468.9,0.1357645553,0.04137342717,0.004137342717,0.02559181062,0.1258264022,0.2132650885,0.4540413734,63.66,19.4,1.94,212.9,97,12,100,59
Jon Duplantier,,440,0.1363181818,0.04136363636,0.004136363636,0.025,0.125,0.2272727273,0.4409090909,59.98,18.2,1.82,194,91,11,100,55
Chandler Shepherd,Orioles,545.9,0.1583073823,0.05092507785,0.005092507785,0.04030042132,0.07327349331,0.1740245466,0.4980765708,86.42,27.8,2.78,271.9,139,22,95,40
Oliver Drake,Rays,273.9,0.1253742242,0.03870025557,0.003870025557,0.02555677254,0.09127418766,0.2993793355,0.415845199,34.34,10.6,1.06,113.9,53,7,82,25
Dereck Rodriguez,Giants,561.1,0.1514168597,0.04705043664,0.004705043664,0.03207984317,0.07663518089,0.185350205,0.5027624309,84.96,26.4,2.64,282.1,132,18,104,43
Joe Ryan,Rays,459.9,0.1178951946,0.04305283757,0.004305283757,0.05001087193,0.0782778865,0.2891933029,0.4172646227,54.22,19.8,1.98,191.9,99,23,133,36
Ryan Pressly,Astros,240,0.1203333333,0.03833333333,0.003833333333,0.02916666667,0.07083333333,0.3208333333,0.4166666667,28.88,9.2,0.92,100,46,7,77,17
John Gant,Cardinals,459.1,0.1381834023,0.04269222392,0.004269222392,0.02831627096,0.1023742104,0.2091047702,0.4750598998,63.44,19.6,1.96,218.1,98,13,96,47
Brad Peacock,Astros,446.9,0.122040725,0.04162004923,0.004162004923,0.04027746699,0.09845603043,0.2618035355,0.431640188,54.54,18.6,1.86,192.9,93,18,117,44
Carlos Rodon,White Sox,416.1,0.1358807979,0.04470079308,0.004470079308,0.03845229512,0.1009372747,0.2331170392,0.4424417207,56.54,18.6,1.86,184.1,93,16,97,42
Zac Lowther,Orioles,568.9,0.1340833187,0.04429600984,0.004429600984,0.0386711197,0.1124978028,0.2074178239,0.4586043241,76.28,25.2,2.52,260.9,126,22,118,64
Joe Jimenez,Tigers,259.9,0.1291265871,0.04001539053,0.004001539053,0.02693343594,0.09234320893,0.3039630627,0.4036167757,33.56,10.4,1.04,104.9,52,7,79,24
Julio Urias,Dodgers,342.9,0.1265091864,0.04141149023,0.004141149023,0.03499562555,0.090405366,0.2653834937,0.4371536891,43.38,14.2,1.42,149.9,71,12,91,31
Nabil Crismatt,,582.1,0.1467445456,0.04775811716,0.004775811716,0.03951211132,0.07215255111,0.1975605566,0.4914963065,85.42,27.8,2.78,286.1,139,23,115,42
Jacob Nix,Padres,295.9,0.1480905711,0.04663737749,0.004663737749,0.03379520108,0.06421088205,0.2095302467,0.4930719838,43.82,13.8,1.38,145.9,69,10,62,19
Reiver Sanmartin,Reds,523.1,0.1526285605,0.0489390174,0.00489390174,0.03823360734,0.07455553431,0.1777862741,0.5029631046,79.84,25.6,2.56,263.1,128,20,93,39
Joey Wentz,Tigers,493,0.1447464503,0.04543610548,0.004543610548,0.03245436105,0.1095334686,0.1947261663,0.4685598377,71.36,22.4,2.24,231,112,16,96,54
Lucas Sims,Reds,503.1,0.1093222023,0.03975352813,0.003975352813,0.04571655734,0.117272908,0.3001391373,0.3838203141,55,20,2,193.1,100,23,151,59
Elieser Hernandez,Marlins,488.1,0.1311616472,0.0446629789,0.00446629789,0.0430239705,0.0839991805,0.2438024995,0.4488834255,64.02,21.8,2.18,219.1,109,21,119,41
Damon Jones,Phillies,479.9,0.1245259429,0.03834132111,0.003834132111,0.02500520942,0.1625338612,0.2458845593,0.399874974,59.76,18.4,1.84,191.9,92,12,118,78
Homer Bailey,Twins,565.9,0.1533133062,0.05018554515,0.005018554515,0.04241031984,0.07951934971,0.192613536,0.4769393886,86.76,28.4,2.84,269.9,142,24,109,45
A.J. Cole,Blue Jays,407,0.1389189189,0.0457002457,0.00457002457,0.03931203931,0.085995086,0.230958231,0.4545454545,56.54,18.6,1.86,185,93,16,94,35
Penn Murfee,Mariners,445.1,0.1490451584,0.04628173444,0.004628173444,0.03145360593,0.08986744552,0.1977083801,0.4810155021,66.34,20.6,2.06,214.1,103,14,88,40
Dylan File,Brewers,599.1,0.1554331497,0.05141044901,0.005141044901,0.0450676014,0.05341345351,0.1802704056,0.5092638958,93.12,30.8,3.08,305.1,154,27,108,32
Anibal Sanchez,Nationals,544.1,0.1426575997,0.04741775409,0.004741775409,0.04227164124,0.08086748759,0.1984929241,0.4835508179,77.62,25.8,2.58,263.1,129,23,108,44
Daniel Castano,Marlins,562,0.1571174377,0.04804270463,0.004804270463,0.03024911032,0.07651245552,0.1672597865,0.5160142349,88.3,27,2.7,290,135,17,94,43
Jhoan Duran,,471.9,0.1413011231,0.0449247722,0.00449247722,0.03390548845,0.1123119305,0.2140283958,0.4490358127,66.68,21.2,2.12,211.9,106,16,101,53
Felix Pena,Angels,460.1,0.1350141274,0.04520756357,0.004520756357,0.04129537057,0.0847641817,0.2369050206,0.4522929798,62.12,20.8,2.08,208.1,104,19,109,39
Emilio Vargas,,475.9,0.149947468,0.04706871191,0.004706871191,0.03362050851,0.08825383484,0.1912166422,0.4851859634,71.36,22.4,2.24,230.9,112,16,91,42
Braxton Garrett,Marlins,466,0.1390128755,0.04334763948,0.004334763948,0.03004291845,0.1072961373,0.2103004292,0.4656652361,64.78,20.2,2.02,217,101,14,98,50
Aaron Wilkerson,Brewers,419,0.1381384248,0.04582338902,0.004582338902,0.04057279236,0.09069212411,0.2195704057,0.4606205251,57.88,19.2,1.92,193,96,17,92,38
